playerID,yearID,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,HBP,SF,OBP,SLG,OPS,BAbip,lgOBP,lgSLG,OPS+
atkinga01,2010,140,5,30,7,0,1,9,12,30,0,0,0,0.276,0.286,0.562,0.266,0.325,0.403,56
aurilri01,1999,558,68,157,23,1,22,80,43,71,3,5,5,0.336,0.444,0.78,0.287,0.345,0.434,100
aurilri01,2000,509,67,138,24,2,20,79,54,90,2,0,4,0.339,0.444,0.783,0.293,0.345,0.437,100
aurilri01,2001,636,114,206,37,5,37,97,47,83,2,0,3,0.369,0.572,0.941,0.326,0.332,0.427,145
aurilri01,2002,538,76,138,35,2,15,61,37,90,0,4,7,0.305,0.413,0.718,0.28,0.331,0.417,91
aurilri01,2003,505,65,140,26,1,13,58,36,82,0,1,3,0.325,0.41,0.735,0.308,0.333,0.422,95
aurilri01,2004,261,27,63,13,0,4,28,22,43,1,2,1,0.304,0.337,0.641,0.274,0.335,0.428,69
aurilri01,2004,138,22,35,8,2,2,16,15,28,0,2,2,0.331,0.384,0.715,0.3,0.335,0.428,89
aurilri01,2005,426,61,120,23,2,14,68,37,67,2,1,3,0.338,0.444,0.782,0.305,0.33,0.419,108
aurilri01,2006,440,61,132,25,1,23,70,34,51,1,1,4,0.349,0.518,0.867,0.295,0.337,0.432,123
aurilri01,2007,329,40,83,19,2,5,33,22,45,1,4,3,0.304,0.368,0.672,0.277,0.336,0.423,77
aurilri01,2008,407,33,115,21,1,10,52,30,56,4,1,2,0.332,0.413,0.745,0.306,0.333,0.416,99
aurilri01,2009,122,10,26,2,0,2,16,8,24,1,0,3,0.256,0.279,0.534,0.242,0.333,0.418,44
ausmubr01,1999,458,62,126,25,6,9,54,51,71,0,14,1,0.365,0.415,0.779,0.309,0.345,0.434,101
ausmubr01,2000,523,75,139,25,3,7,51,69,79,0,6,2,0.357,0.365,0.722,0.301,0.345,0.437,87
ausmubr01,2001,422,45,98,23,4,5,34,30,64,6,1,2,0.284,0.341,0.625,0.262,0.332,0.427,65
ausmubr01,2002,447,57,115,19,3,6,50,38,71,3,6,3,0.322,0.353,0.675,0.292,0.331,0.417,82
ausmubr01,2003,450,43,103,12,2,4,47,46,66,1,4,5,0.303,0.291,0.594,0.257,0.333,0.422,60
ausmubr01,2004,403,38,100,14,1,5,31,33,56,11,2,3,0.306,0.325,0.631,0.275,0.335,0.428,67
ausmubr01,2005,387,35,100,19,0,3,47,51,48,8,5,1,0.351,0.331,0.682,0.288,0.33,0.419,85
ausmubr01,2006,439,37,101,16,1,2,39,45,71,2,6,3,0.308,0.285,0.593,0.268,0.337,0.432,57
ausmubr01,2007,349,38,82,16,3,3,25,37,74,3,6,1,0.318,0.324,0.642,0.289,0.336,0.423,71
ausmubr01,2008,216,15,47,8,0,3,24,25,41,3,2,1,0.303,0.296,0.6,0.254,0.333,0.416,62
austity01,2018,121,16,27,6,0,8,23,8,53,0,2,1,0.28,0.471,0.751,0.311,0.318,0.409,103
austity01,2018,123,18,29,4,0,9,24,11,42,0,0,2,0.294,0.488,0.782,0.27,0.318,0.409,112
avenbr01,1999,381,57,110,19,2,12,70,44,82,1,9,6,0.37,0.444,0.814,0.334,0.345,0.434,110
avenbr01,2000,148,18,37,11,0,5,25,5,31,0,0,0,0.275,0.426,0.7,0.286,0.345,0.437,77
avilaal01,2010,294,28,67,12,0,7,31,36,71,0,2,0,0.316,0.34,0.656,0.278,0.325,0.403,82
avilaal01,2011,464,63,137,33,4,19,82,73,131,9,3,8,0.389,0.506,0.895,0.366,0.321,0.399,148
avilaal01,2012,367,42,89,21,2,9,48,61,104,2,2,2,0.352,0.384,0.736,0.313,0.319,0.405,105
avilaal01,2013,330,39,75,14,1,11,47,44,112,0,1,3,0.317,0.376,0.693,0.305,0.318,0.396,95
avilaal01,2014,390,44,85,22,0,11,47,61,151,1,3,2,0.327,0.359,0.686,0.322,0.314,0.386,97
avilaal01,2015,178,21,34,5,0,4,13,40,66,0,0,0,0.339,0.287,0.626,0.278,0.317,0.405,78
avilaal01,2016,169,19,36,6,0,7,11,38,78,0,1,1,0.359,0.373,0.732,0.341,0.322,0.417,101
avilaal01,2017,219,30,60,11,0,11,32,43,80,2,1,1,0.394,0.475,0.869,0.38,0.324,0.426,133
avilaal01,2018,194,13,32,6,0,7,20,37,90,2,1,2,0.299,0.304,0.603,0.253,0.318,0.409,68
avilemi01,2008,419,68,136,27,4,10,51,18,58,4,2,2,0.354,0.48,0.833,0.357,0.333,0.416,122
avilemi01,2009,120,10,22,3,1,1,8,4,26,0,0,1,0.208,0.25,0.458,0.223,0.333,0.418,22
avilemi01,2010,424,63,129,16,3,8,32,20,49,0,1,3,0.335,0.413,0.748,0.327,0.325,0.403,106
avilemi01,2011,185,14,41,11,3,5,31,9,27,0,2,3,0.261,0.395,0.656,0.231,0.321,0.399,80
avilemi01,2011,101,17,32,6,0,2,8,4,17,0,0,1,0.34,0.436,0.775,0.361,0.321,0.399,115
avilemi01,2012,512,57,128,28,0,13,60,23,77,0,2,6,0.282,0.381,0.663,0.269,0.319,0.405,82
avilemi01,2013,361,54,91,15,0,9,46,15,41,0,3,8,0.282,0.368,0.65,0.257,0.318,0.396,82
avilemi01,2014,344,38,85,16,1,5,39,13,49,0,1,5,0.273,0.343,0.616,0.271,0.314,0.386,76
avilemi01,2015,290,37,67,10,0,5,17,20,38,0,1,1,0.282,0.317,0.599,0.25,0.317,0.405,67
avilemi01,2016,167,17,35,5,1,1,6,9,27,0,2,0,0.258,0.269,0.528,0.245,0.322,0.417,45
aybarer01,2007,194,18,46,5,1,1,19,10,32,0,2,2,0.279,0.289,0.568,0.276,0.336,0.423,51
aybarer01,2008,346,53,96,18,5,3,39,14,45,0,5,1,0.314,0.384,0.699,0.311,0.333,0.416,87
aybarer01,2009,504,70,157,23,9,5,58,30,54,1,5,5,0.353,0.423,0.776,0.338,0.333,0.418,107
aybarer01,2010,534,69,135,18,4,5,29,35,81,1,7,2,0.306,0.33,0.636,0.289,0.325,0.403,76
aybarer01,2011,556,71,155,33,8,10,59,31,68,1,6,3,0.322,0.421,0.743,0.301,0.321,0.399,106
aybarer01,2012,517,67,150,31,5,8,45,22,61,1,5,2,0.324,0.416,0.74,0.316,0.319,0.405,104
aybarer01,2013,550,68,149,33,5,6,54,23,59,1,3,5,0.301,0.382,0.683,0.292,0.318,0.396,91
aybarer01,2014,589,77,164,30,4,7,68,36,62,4,5,8,0.321,0.379,0.7,0.297,0.314,0.386,100
aybarer01,2015,597,74,161,30,1,3,44,25,73,1,4,5,0.301,0.338,0.639,0.3,0.317,0.405,78
aybarer01,2016,335,27,81,14,2,2,26,20,59,5,6,4,0.293,0.313,0.607,0.284,0.322,0.417,66
aybarer01,2017,333,37,78,15,1,7,22,28,57,2,4,2,0.3,0.348,0.648,0.262,0.324,0.426,74
aybarwi01,2006,128,15,32,12,0,3,22,18,17,0,3,0,0.356,0.414,0.77,0.269,0.337,0.432,101
aybarwi01,2006,115,17,36,6,0,1,8,10,19,0,1,0,0.373,0.391,0.764,0.368,0.337,0.432,101
aybarwi01,2008,324,33,82,17,2,10,33,32,44,3,4,1,0.327,0.41,0.737,0.266,0.333,0.416,97
aybarwi01,2009,296,38,75,12,0,12,41,34,54,2,2,3,0.331,0.416,0.747,0.27,0.333,0.418,99
aybarwi01,2010,270,22,62,13,0,6,43,30,61,1,3,4,0.309,0.344,0.654,0.271,0.325,0.403,80
baderha01,2018,379,61,100,20,2,12,37,31,125,3,11,4,0.334,0.422,0.756,0.358,0.318,0.409,108
baergca01,2002,182,17,52,11,0,2,19,7,20,1,2,2,0.316,0.379,0.695,0.309,0.331,0.417,86
baergca01,2003,207,31,71,13,0,4,39,18,20,1,2,3,0.396,0.464,0.859,0.36,0.333,0.422,129
baergca01,2005,158,18,40,7,0,2,19,7,17,0,8,0,0.318,0.335,0.653,0.273,0.33,0.419,76
baezja01,2014,213,25,36,6,0,9,20,15,95,0,1,0,0.227,0.324,0.551,0.248,0.314,0.386,56
baezja01,2016,421,50,115,19,1,14,59,15,108,3,11,2,0.314,0.423,0.737,0.336,0.322,0.417,99
baezja01,2017,469,75,128,24,2,23,75,30,144,15,1,2,0.317,0.48,0.796,0.345,0.324,0.426,111
baezja01,2018,606,101,176,40,9,34,111,29,167,8,5,4,0.326,0.554,0.881,0.347,0.318,0.409,138
bagweje01,1999,562,143,171,35,0,42,126,149,127,16,11,7,0.454,0.591,1.045,0.323,0.345,0.434,168
bagweje01,2000,590,152,183,37,1,47,132,107,116,11,15,7,0.424,0.615,1.039,0.313,0.345,0.437,164
bagweje01,2001,600,126,173,43,4,39,130,106,135,5,6,5,0.397,0.568,0.966,0.311,0.332,0.427,153
bagweje01,2002,571,94,166,33,2,31,98,101,130,8,10,9,0.401,0.518,0.919,0.322,0.331,0.417,145
bagweje01,2003,605,109,168,28,2,39,100,88,119,3,6,3,0.373,0.524,0.897,0.287,0.333,0.422,136
bagweje01,2004,572,104,152,29,2,27,89,96,131,6,8,3,0.377,0.465,0.842,0.3,0.335,0.428,121
bagweje01,2005,100,11,25,4,0,3,19,18,21,1,1,4,0.358,0.38,0.738,0.275,0.33,0.419,99
baineha01,1999,345,57,111,16,1,24,81,43,38,3,0,2,0.395,0.583,0.977,0.305,0.345,0.434,149
baineha01,2000,222,24,59,8,0,10,30,29,39,6,0,1,0.349,0.437,0.786,0.282,0.345,0.437,101
bakerje03,2007,144,17,32,2,2,4,12,13,40,1,2,0,0.296,0.347,0.643,0.28,0.336,0.423,70
bakerje03,2008,299,55,80,22,1,12,48,26,85,2,1,6,0.322,0.468,0.791,0.327,0.333,0.416,109
bakerje03,2009,203,27,62,15,1,4,21,17,46,0,2,2,0.362,0.448,0.81,0.374,0.333,0.418,116
bakerje03,2010,206,29,56,13,2,4,21,16,50,0,1,1,0.326,0.413,0.739,0.34,0.325,0.403,103
bakerje03,2011,201,20,54,12,1,3,23,10,46,0,0,1,0.302,0.383,0.685,0.333,0.321,0.399,90
bakerje03,2012,134,16,36,10,1,4,20,8,28,0,0,2,0.306,0.448,0.753,0.308,0.319,0.405,107
bakerje03,2013,154,21,43,8,0,11,21,18,48,1,2,1,0.36,0.545,0.905,0.333,0.318,0.396,151
bakerje03,2014,208,27,55,10,4,3,28,13,51,1,1,3,0.307,0.394,0.701,0.331,0.314,0.386,100
bakerjo01,2008,197,32,59,14,0,5,32,30,48,4,2,3,0.392,0.447,0.839,0.367,0.333,0.416,125
bakerjo01,2009,373,59,101,25,0,9,50,41,89,5,5,2,0.349,0.41,0.759,0.332,0.333,0.418,103
bakerjo01,2012,193,17,46,8,0,0,14,20,41,2,0,0,0.31,0.28,0.59,0.303,0.319,0.405,66
